INFO	 | watchfiles.main	 | 2025-09-29 11:11:40	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:12:01	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:12:16	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:12:31	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:12:45	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:12:45	 | _log_changes:308	 | 4 changes detected
INFO	 | watchfiles.main	 | 2025-09-29 11:12:46	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:12:49	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:13:27	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:13:35	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:13:42	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:13:43	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:13:50	 | _log_changes:308	 | 1 change detected
INFO	 | uvicorn.error	 | 2025-09-29 11:15:39	 | _serve:84	 | Started server process [20184]
INFO	 | uvicorn.error	 | 2025-09-29 11:15:39	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-29 11:15:39	 | startup:62	 | Application startup complete.
INFO	 | app	 | 2025-09-29 11:15:43	 | root:13	 | 服务启动，根路径被访问
INFO	 | uvicorn.access	 | 2025-09-29 11:15:43	 | send:476	 | 127.0.0.1:1817 - "GET / HTTP/1.1" 200
INFO	 | app	 | 2025-09-29 11:15:43	 | root:13	 | 服务启动，根路径被访问
INFO	 | uvicorn.access	 | 2025-09-29 11:15:43	 | send:476	 | 127.0.0.1:1817 - "GET / HTTP/1.1" 200
INFO	 | watchfiles.main	 | 2025-09-29 11:16:34	 | _log_changes:308	 | 2 changes detected
INFO	 | uvicorn.error	 | 2025-09-29 11:16:35	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-29 11:16:35	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-29 11:16:35	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-29 11:16:35	 | _serve:94	 | Finished server process [20184]
INFO	 | watchfiles.main	 | 2025-09-29 11:16:35	 | _log_changes:308	 | 1 change detected
